"id_azienda","azienda","partita_iva","email_azienda","telefono_azienda","id_servizio","servizio","descrizione_servizio","id_asset","asset","descrizione_asset","tipo_asset","criticita","stato_asset","ambiente","ubicazione","numero_contratto","scadenza_contratto","sla","uptime_garantito","fornitore","nome_referente_fornitore","cognome_referente_fornitore","email_referente_fornitore","telefono_referente_fornitore","nome_punto_contatto","cognome_punto_contatto","email_punto_contatto","telefono_punto_contatto","ruolo_punto_contatto"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","2","AZ001-CLOUD-002","Servizio cloud gestito utilizzato per funzioni applicative o infrastrutturali. Asset censito per Aurora Industrie S.p.A. e collocato in Sede operativa Nord.","Servizio Cloud","ALTA","ATTIVO","PRODUZIONE","Sede operativa Nord","CTR-2024-001-12","2025-02-17","12","99.70","Fortis Network Services S.p.A.","Laura","Santoro","laura.santoro@fortisnetworkservicesspa.it","+39 02 7004853","Francesca","Costa","francesca.costa@auroraindustriespa.it","+39 321 1000051","Amministratore di sistema"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","2","AZ001-CLOUD-002","Servizio cloud gestito utilizzato per funzioni applicative o infrastrutturali. Asset censito per Aurora Industrie S.p.A. e collocato in Sede operativa Nord.","Servizio Cloud","ALTA","ATTIVO","PRODUZIONE","Sede operativa Nord","CTR-2024-001-12","2025-02-17","12","99.70","Fortis Network Services S.p.A.","Laura","Santoro","laura.santoro@fortisnetworkservicesspa.it","+39 02 7004853","Marco","Fontana","marco.fontana@auroraindustriespa.it","+39 321 1000153","Referente servizio"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","13","AZ001-SRV-013","Server applicativo o infrastrutturale utilizzato per l erogazione dei servizi aziendali. Asset censito per Aurora Industrie S.p.A. e collocato in Cloud EU-West.","Server","ALTA","ATTIVO","SVILUPPO","Cloud EU-West","CTR-2023-001-07","2025-03-19","12","99.80","DeltaCompute S.r.l.","Giulia","Fontana","giulia.fontana@deltacomputesrl.it","+39 02 7003798","Valentina","Santoro","valentina.santoro@auroraindustriespa.it","+39 321 1000238","Amministratore di sistema"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","13","AZ001-SRV-013","Server applicativo o infrastrutturale utilizzato per l erogazione dei servizi aziendali. Asset censito per Aurora Industrie S.p.A. e collocato in Cloud EU-West.","Server","ALTA","ATTIVO","SVILUPPO","Cloud EU-West","CTR-2023-001-07","2025-03-19","12","99.80","DeltaCompute S.r.l.","Giulia","Fontana","giulia.fontana@deltacomputesrl.it","+39 02 7003798","Valentina","Colombo","valentina.colombo@auroraindustriespa.it","+39 321 1000102","Responsabile sicurezza"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","24","AZ001-PC-024","Postazione di lavoro assegnata al personale per le attivita operative quotidiane. Asset censito per Aurora Industrie S.p.A. e collocato in CED secondario.","PC","MEDIA","ATTIVO","PRODUZIONE","CED secondario","CTR-2022-001-02","2025-04-18","12","99.90","CloudBridge Italia S.r.l.","Federica","Barbieri","federica.barbieri@cloudbridgeitaliasrl.it","+39 02 7002743","Giorgio","Gallo","giorgio.gallo@auroraindustriespa.it","+39 321 1000119","Amministratore di sistema"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","24","AZ001-PC-024","Postazione di lavoro assegnata al personale per le attivita operative quotidiane. Asset censito per Aurora Industrie S.p.A. e collocato in CED secondario.","PC","MEDIA","ATTIVO","PRODUZIONE","CED secondario","CTR-2022-001-02","2025-04-18","12","99.90","CloudBridge Italia S.r.l.","Federica","Barbieri","federica.barbieri@cloudbridgeitaliasrl.it","+39 02 7002743","Francesca","Costa","francesca.costa@auroraindustriespa.it","+39 321 1000051","Referente servizio"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","35","AZ001-FW-035","Firewall perimetrale o di segmentazione utilizzato per il controllo del traffico di rete. Asset censito per Aurora Industrie S.p.A. e collocato in Sede operativa Centro.","Firewall","ALTA","ATTIVO","PRODUZIONE","Sede operativa Centro","CTR-2023-001-09","2024-07-31","48","99.95","ReteNova Telecom S.p.A.","Giulia","De Luca","giulia.de luca@retenovatelecomspa.it","+39 02 7000422","Davide","Lombardi","davide.lombardi@auroraindustriespa.it","+39 321 1000306","Amministratore di sistema"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","1","ERP gestionale","Sistema gestionale per contabilita, acquisti, vendite e processi amministrativi. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","35","AZ001-FW-035","Firewall perimetrale o di segmentazione utilizzato per il controllo del traffico di rete. Asset censito per Aurora Industrie S.p.A. e collocato in Sede operativa Centro.","Firewall","ALTA","ATTIVO","PRODUZIONE","Sede operativa Centro","CTR-2023-001-09","2024-07-31","48","99.95","ReteNova Telecom S.p.A.","Giulia","De Luca","giulia.de luca@retenovatelecomspa.it","+39 02 7000422","Marco","Romano","marco.romano@auroraindustriespa.it","+39 321 1000017","Referente servizio"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","2","CRM commerciale","Piattaforma per la gestione di clienti, opportunita commerciali e attivita di vendita. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","9","AZ001-DB-009","Sistema database utilizzato per la persistenza dei dati applicativi e gestionali. Asset censito per Aurora Industrie S.p.A. e collocato in Sede centrale.","Database","ALTA","ATTIVO","PRODUZIONE","Sede centrale","CTR-2023-001-11","2026-12-12","8","99.50","NetAxis Connectivity S.r.l.","Luca","Gallo","luca.gallo@netaxisconnectivitysrl.it","+39 02 7003376","Davide","Leone","davide.leone@auroraindustriespa.it","+39 321 1000170","Amministratore di sistema"
"1","Aurora Industrie S.p.A.","10000007919","info@auroraindustriespa.it","+39 03 1000137","2","CRM commerciale","Piattaforma per la gestione di clienti, opportunita commerciali e attivita di vendita. Il servizio supporta i processi operativi di Aurora Industrie S.p.A..","9","AZ001-DB-009","Sistema database utilizzato per la persistenza dei dati applicativi e gestionali. Asset censito per Aurora Industrie S.p.A. e collocato in Sede centrale.","Database","ALTA","ATTIVO","PRODUZIONE","Sede centrale","CTR-2023-001-11","2026-12-12","8","99.50","NetAxis Connectivity S.r.l.","Luca","Gallo","luca.gallo@netaxisconnectivitysrl.it","+39 02 7003376","Martina","Conti","martina.conti@auroraindustriespa.it","+39 321 1000204","Referente servizio"
